org,project,url,published,tags,section,subject,authors,orgtype,toolsused,backstory,notes,isbroken,notmobile
The Guardian,‘Do no harm’: Medical professionals urge Wellcome Trust to end fossil fuel investments,http://www.theguardian.com/environment/ng-interactive/2015/aug/14/health-professionals-urge-wellcome-trust-end-fossil-fuel-investments-letter,8/14/2015,feature,,,The Guardian,international,,,,,
The Guardian,"‘Our melting, shifting, liquid world’: celebrities read poems on climate change",http://www.theguardian.com/environment/ng-interactive/2015/nov/20/our-melting-shifting-liquid-world-celebrities-read-poems-on-climate-change,11/20/2015,"feature, audio",,,Xaquin G.V.,international,,,,,
The Guardian,‘Why we're going on the biggest climate march in history’,http://www.theguardian.com/environment/ng-interactive/2014/sep/19/-sp-climate-change-march-un-summit-new-york-emma-thompson-ban-ki-moon,9/19/2014,feature,,,"Damian Carrington, Suzanne Goldenberg, Fiona Harvey, Arthur Neslen, Adam Vaughan, John Vidal",international,,,,,
The Guardian,100 things the Tories did in their first 100 days,http://www.theguardian.com/politics/ng-interactive/2015/aug/14/conservative-tory-government-first-100-days-100-things-done-david-cameron,8/14/2015,feature,,,"Andrew Sparrow, Will Franklin, Chris Fenn, Troy Griggs, ",international,,,,,
The Guardian,2012 in America: the year in review,http://www.guardian.co.uk/world/interactive/2012/dec/21/2012-america-year-review,12/21/2012,presentation,,,"Guardian US interactive team, Erin McCann",international,,,,,
The Guardian,2015 NCAA Tournament bracket: can you hack it?,http://www.theguardian.com/sport/ng-interactive/2015/mar/17/2015-ncaa-tournament-basketball-bracket,3/17/2015,"graphic, graphic",,,Guardian US interactive team,international,,,,,
The Guardian,2016 will be the year of the [insert trend here] – random prediction generator,http://www.theguardian.com/news/datablog/ng-interactive/2016/jan/01/2016-insert-trend-here-random-prediction-generator,12/31/2015,feature,,,Nick Evershed,international,,,,,
The Guardian,60 photos of the 1960s - readers' pictures,http://www.theguardian.com/artanddesign/guardianwitness-blog/ng-interactive/2015/aug/13/60-photos-of-the-1960s-readers-pictures,8/13/2015,feature,,,The Guardian,international,,,,,
The Guardian,"70 years, 70 achievements: a visual guide to what the UN has done",http://www.theguardian.com/world/2015/sep/21/united-nations-70-years-achievements-visual-guide,9/21/2015,"feature, timeline",,U.N. 70th Anniversary,"Mark Rice-Oxley, Richard Nelsson, Andrew Mason, Daan Louter, Chris Newell, Cath Levett",international,,,,,
The Guardian,A global guide to the first world war,http://www.theguardian.com/world/ng-interactive/2014/jul/23/a-global-guide-to-the-first-world-war-interactive-documentary,7/23/2014,"feature, video",,,"Kiln.it, Francesca Panetta, Lindsay Poulton, Alex Purcell, Stephen Moss, Nabeelah Shabbir",international,,,,,
The Guardian,A Guardian Guide to Extradition,http://www.guardian.co.uk/world/interactive/2013/jul/02/guardian-guide-extradition-interactive,7/2/2013,"map, graphic, explainer",,,Guardian US interactive team,international,,,,,
The Guardian,A Guardian guide to your metadata,http://www.guardian.co.uk/technology/interactive/2013/jun/12/what-is-metadata-nsa-surveillance#meta=1001000,6/12/2013,"feature, explainer",,,Guardian US interactive team,international,,,,,
The Guardian,A guide to carbon capture technologies,http://www.guardian.co.uk/environment/interactive/2008/jun/12/carbon.capture,,,,,The Guardian,international,,,,,
The Guardian,A history of cities in 50 buildings,http://www.theguardian.com/cities/ng-interactive/2015/jun/05/history-cities-50-buildings-interactive,6/5/2015,feature,,,"Garry Blight, Athlyn Cathcart-Keays, Nick Mead",international,,,,,
The Guardian,A lifetime surviving Auschwitz,http://www.theguardian.com/world/ng-interactive/2015/jan/26/auschwitz-liberation-70th-anniversary-survivors,1/26/2015,"feature, photo gallery",,,Daan Louter,international,,,,,
The Guardian,A perilous journey: Khalid's flight to Europe from Syria - an illustrated account,http://www.theguardian.com/world/ng-interactive/2015/nov/11/a-perilous-journey-khalids-story-syrian-refugee,11/11/2015,"feature, video, illustration",,,The Guardian,international,,,,,
The Guardian,"Afghanistan war logs: IED attacks on civilians, coalition and Afghan troops",http://www.guardian.co.uk/world/datablog/interactive/2010/jul/26/ied-afghanistan-war-logs,,,,,"Mark McCormick, Paddy Allen, Alastair Dant",international,,,,,
The Guardian,Afghanistan: where has all the aid money gone?,http://www.theguardian.com/global-development/ng-interactive/2014/dec/04/-sp-afghanistan-aid-how-spent,12/4/2014,graphic,,,Achilleas Galatsidas,international,,,,,
The Guardian,After Katrina: New Orleans then and now – interactive photographs,http://www.theguardian.com/cities/2015/aug/13/after-katrina-new-orleans-then-and-now-interactive-photographs,8/13/2015,"feature, before/after",,,The Guardian,international,,,,,
The Guardian,Alive and kicking: Australia's animal export trade booms despite persistent claims of cruelty,http://www.theguardian.com/australia-news/2015/aug/03/alive-and-kicking-australias-animal-export-trade-booms-despite-persistent-claims-of-cruelty,8/3/2015,"map, graphic, graphic",Australia,,Nick Evershed,international,,,,,
The Guardian,All of Australia's national security changes since 9/11 in a timeline,http://www.theguardian.com/australia-news/ng-interactive/2015/oct/19/all-of-australias-national-security-changes-since-911-in-a-timeline,10/19/2015,timeline,,,"Nick Evershed, Michael Safi",international,,,,,
The Guardian,America: Elect! The action-packed journey to US election day in graphic novel form,http://www.guardian.co.uk/world/interactive/2012/nov/06/america-elect-graphic-novel,11/6/2012,presentation,,,"Guardian US interactive team, Richard Adams, Erin McCann",international,,,,,
