Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News Online,From Menzies to Malcolm: the careers of Australia's prime ministers visualised,http://www.abc.net.au/news/2015-09-25/the-long-road-to-become-pm/6794310,9/25/2015,interactive graphic,,,"Tim Leslie, Louis Stowasser, Ben Spraggon, Matthew Liddy",international,,,
ABC News Online,Melbourne Cup winner Prince Of Penzance: How it compares to past champions,http://www.abc.net.au/news/2015-11-02/melbourne-cup-2015-how-the-runners-compare-to-past-champions/6891238,11/2/2015,"interactive feature, interactive graphic, static graphic, illustration",,,"Daniel Franklin, Simon Elvery, Ben Spraggon",international,,,
ABC News Online,In hot water: How the hidden menace of coral bleaching is going global.,http://www.abc.net.au/news/2015-11-27/global-reef-bleaching-leaving-behind-coral-graveyards/6972150,11/27/2015,"interactive presentation, video, before/after",,,"Mark Doman, Matthew Liddy, Ben Spraggon, Colin Gourlay",international,,,
ABC News Online,Star Wars: every scene from I-VI charted,http://www.abc.net.au/news/2015-12-16/star-wars-every-scene/7013826,12/16/2015,interactive graphic,,,"Katie Franklin, Simon Elvery, Ben Spraggon",international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Aftenposten,"#klodenvår: ”Blir det varmere nå, fryser vi i hjel",http://mm.aftenposten.no/kloden-var/blir-det-varmere-na-fryser-vi-i-hjel,,"interactive feature, video",,,,international,,,
Aftenposten,Asylbarna som får: en ny sjanse,http://www.aftenposten.no/nyheter/iriks/politikk/Asylbarna-som-far-en-ny-sjanse-7974066.html,4/8/2015,"interactive feature, crowd source",,,,international,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The Age,The vanishing island,http://www.theage.com.au/interactive/2015/the-vanishing-island/,9/22/2015,"interactive feature, video, slide show",,,,international,Shorthand Pro,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Al Jazeera,Tracking Syria's defections,http://www.aljazeera.com/indepth/interactive/syriadefections/2012730840348158.html,8/9/2012,,,,"MayNinth, Potato",international,,,
Al Jazeera,Interactive transcript of Florida debate,http://www.aljazeera.com/indepth/interactive/2012/10/20121023134433218846.html,10/23/2012,,,,"Mark Boas, Mohammed Haddad",international,3PlayMedia,,
Al Jazeera,US bases encircle Iran,http://www.aljazeera.com/indepth/interactive/2012/04/2012417131242767298.html,5/1/2012,interactive map,,,,international,Google Maps,,
Al Jazeera,Deconstructing Obama's States of the Union,http://www.aljazeera.com/indepth/interactive/2013/02/201321213243145814.html,2/13/2013,"interactive feature, video",,,,international,,,
Al Jazeera America,A guide to hunger strikes at Guantanamo Bay,http://america.aljazeera.com/articles/multimedia/guantanamo-hungerstriketimeline.html,9/26/2013,"interactive graphic, timeline, video, documents",,,"Michael Keller, Jason Leopold",international,"DocumentCloud, Timeline.js",,
Al Jazeera America,"I Spy, You Spy",http://projects.aljazeera.com/2013/pi/index.html,2013,"interactive presentation, slideshow, game, stepper, timeline",,,"Joanna S. Kao, Lam Thuy Vo",international,,,
Al Jazeera America,"The politicization of the debt ceiling, in one chart",http://america.aljazeera.com/content/ajam/articles/multimedia/graphic-the-politicizationofthedebtceilinginonegraph.html,10/16/2013,interactive graphic,,,Michael Keller,international,,,
Al Jazeera America,Humanitarian Crisis in Syria,http://america.aljazeera.com/articles/multimedia/interactive-humanitariancrisisinsyria.html,2013,"explainer, interactive graphic, interactive map",,,"Michael Keller, Alex Newman, Lam Thuy Vo",international,,,
