Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News,Japan Earthquake: before and after,http://www.abc.net.au/news/specials/japan-quake-2011/,,,,,Andrew Kesper,national,,,
ABC News,Pluto comes into focus,http://www.abc.net.au/news/2015-07-09/pluto-comes-into-focus/6566818,7/9/2015,"interactive presentation, timeline, video",,,"Ben Spraggon, Ash Kyd, Colin Gourlay",national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Daily Star,"Liens and foreclosures, broken down by company",http://azstarnet.com/app/maps/foreclosures/,,interactive map,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Central,Yarnell Hill Fire: Remembering the fallen firefighters,http://www.azcentral.com/news/free/20130701yarnell-hill-fire-firefighters-names.html,7/2/2013,interactive feature,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Associated Press,2012 NATO Summit,http://hosted.ap.org/interactives/2012/nato/index.html,2012,"photo gallery, interactive presentation",,,,national,,,
Associated Press,Are post offices near you under study for reduced hours?,http://hosted.ap.org/interactives/2012/postal-problems/,2012,"interactive map, database",,,,national,,,
Associated Press,Collecting precious medals,http://hosted.ap.org/interactives/2012/olympics-medals-records/index.html,2012,interactive graphic,,,,national,,,
Associated Press,Illegal immigrants increasingly held in private detention facilities,http://hosted.ap.org/interactives/2012/immigration-html/,2012,"interactive map, timeline",,,,national,,,
Associated Press,NASA Mars Mission,http://hosted.ap.org/interactives/2012/mars-curiosity/index.html,2012,interactive graphic,,,,national,,,
Associated Press,2012 Summer Olympics: Venues,http://hosted.ap.org/interactives/2012/olympics-venues/,2012,interactive map,,,,national,,,
Associated Press,The Many Sides of Marilyn Monroe,http://hosted.ap.org/interactives/2012/marilyn-monroe/,2012,"photo gallery, interactive presentation",,,,national,,,
Associated Press,Olympic Events,http://hosted.ap.org/interactives/2012/olympics-events/,2012,,,,,national,,,
Associated Press,Igniting the games,http://hosted.ap.org/interactives/2012/olympics-torch/index.html,2012,"photo gallery, interactive presentation",,,,national,,,
Associated Press,Olympic security: Is London ready?,http://hosted.ap.org/interactives/2012/london-security/,2012,explainer,,,,national,,,
Associated Press,The presidential tickets,http://hosted.ap.org/interactives/2012/election-2012/index.html,2012,,,,,national,,,
Associated Press,Colorado suspect charged with 24 counts of murder,http://hosted.ap.org/interactives/2012/colorado-shooting/,2012,"photo gallery, interactive presentation",,,,national,,,
Associated Press,Natural gas service line accidents,http://hosted.ap.org/interactives/2012/pipeline-accidents/,2012,"interactive map, timeline",,,,national,,,
Associated Press,Gun control chronology,http://hosted.ap.org/interactives/2012/gun-control/index.html,2012,timeline,,,,national,,,
Associated Press,Penn State players focus of Big Ten media day,http://hosted.ap.org/interactives/2012/penn-state-sandusky/index.html,2012,"photo gallery, interactive presentation",,,,national,,,
Associated Press,New nuclear,http://hosted.ap.org/interactives/2012/new-nuclear/,2012,interactive map,,,,national,,,
Associated Press,Pitch repertoire,http://hosted.ap.org/interactives/2012/pitching/index.html,2012,video,,,,national,,,
Associated Press,Developments in the ongoing Syria conflict,http://hosted.ap.org/interactives/2012/syria/,2012,timeline,,,,national,,,
Associated Press,Blade Runner: Pistorious facts,http://hosted.ap.org/interactives/2012/oscar-pistorius/index.html,2012,"explainer, interactive graphic",,,,national,,,
Associated Press,Health Care,http://hosted.ap.org/interactives/2012/healthcare/index.html,2012,"timeline, interactive map, explainer, static graphic, video",,,,national,,,
Associated Press,National wildfires,http://hosted.ap.org/interactives/2012/wildfires-html/,2012,"interactive map, video, timeline",,,,national,,,
Associated Press,U.S. Supreme Court,http://hosted.ap.org/interactives/2012/supreme-court/,2012,"explainer, interactive graphic",,,,national,,,
Associated Press,Tennis Grand Slams,http://hosted.ap.org/interactives/2012/tennis-grand-slams/index.html,2012,"interactive graphic, timeline, video, photo gallery, interactive presentation",,,,national,,,
Associated Press,Andy Griffith,http://hosted.ap.org/interactives/2012/andy-griffith-html/,2012,timeline,,,,national,,,
Associated Press,2012 G20 summit,http://hosted.ap.org/interactives/2012/g20/,2012,"interactive graphic, explainer",,,,national,,,currently not working
Associated Press,Roger Clemens trial,http://hosted.ap.org/interactives/2012/clemens-trial/index.html,2012,"interactive presentation, timeline",,,,national,,,
Associated Press,Food stamp recipients,http://hosted.ap.org/interactives/2012/food-stamps/,2012,interactive map,,,,national,,,
Associated Press,U.S. Supreme Court: Major cases in the current term,http://hosted.ap.org/interactives/2011/scotus-11-12/index.html,2011,interactive presentation,,,,national,,,
Associated Press,Golf's major tournaments,http://hosted.ap.org/interactives/2012/golf-majors/index.html,2012,interactive presentation,,,,national,,,
