Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
The New York Times,1969,http://www.nytimes.com/packages/html/arts/20090717-1969-feature/,7/17/2009,,Arts,,"Julie Bloom, Jeremy Egner, Mary Hardiman, Jon Huang, Tom Jackson, Andrew Kuneman, Mekado Murphy, Krishnan Vasudevan",national,,,
The New York Times,‘Downton Abbey’ and History: A Look Back,http://www.nytimes.com/interactive/2014/12/31/arts/television/12312015_DowntonAbbey-timeline.html,12/31/2014,timeline,Arts,,,national,,,
The New York Times,"‘I Will,’ He Said: Romney’s Campaign Promises",http://www.nytimes.com/interactive/2012/08/30/us/politics/romney-i-will.html?ref=politics,8/30/2012,interactive presentation,Politics - Election 2012,,Jonathan Corum,national,,,
The New York Times,‘Mad Men’ and Its Love Affair With ’60s Pop Culture,http://www.nytimes.com/interactive/2015/04/03/arts/television/mad-men-season-7-timeline.html,4/3/2015,"interactive feature, video",Arts,,"Matt Ruby, Rumsey Taylor",national,,,
The New York Times,‘Notes on Blindness’,http://www.nytimes.com/interactive/2014/01/16/opinion/16OpDoc-NotesOnBlindness.html,1/16/2014,"interactive feature, video, audio",Opinion,,"Lindsay Crouse, Meghan Louttit, Ryan Smith",national,,,
The New York Times,‘Optical Delusions’,http://www.nytimes.com/interactive/2011/06/12/arts/design/20110612-optical-delusions.html,6/10/2011,,Arts,,Nick Harbaugh,national,,,
The New York Times,‘Stop-and-Frisk’ Is All but Gone From New York,http://www.nytimes.com/interactive/2014/09/19/nyregion/stop-and-frisk-is-all-but-gone-from-new-york.html,9/19/2014,"interactive presentation, static map, static graphic",NY/Metro,,"Mike Bostock, Ford Fessenden",national,D3.js,,
The New York Times,‘You Probably Don’t Want to Look in the Crisper’,http://www.nytimes.com/interactive/2014/03/30/magazine/mag30-fridges.html?ref=magazine,3/28/2014,static feature,Magazine,,John Niedermeyer,national,,,
The New York Times,#2010: Tweets From The Times,http://elections.nytimes.com/2010/updates,2010,,Politics - Election 2012,,Tyson Evans,national,,,
The New York Times,1.5 Million Missing Black Men,http://www.nytimes.com/interactive/2015/04/20/upshot/missing-black-men.html,4/20/2015,"interactive graphic, static graphic, static map",The Upshot,,"Justin Wolfers, David Leonhardt, Kevin Quealy",national,D3.js,,
The New York Times,"10 Tentacles, 12 Recipes",http://www.nytimes.com/interactive/2014/04/06/magazine/mag-06Eat-interactive.html,4/2/2014,interactive feature,Magazine,,Matt Ruby,national,,,
The New York Times,10 Years After Katrina,http://www.nytimes.com/interactive/2015/08/26/us/ten-years-after-katrina.html,8/26/2015,"interactive presentation, video, slide show, static map",National,,"Tanner Curtis, Haeyoun Park, Rumsey Taylor, Derek Watkins, Josh Williams, Ben Laffin",national,,,
The New York Times,101 Places to Find Great Coffee in New York,http://www.nytimes.com/interactive/2014/05/06/dining/101-places-to-get-good-coffee-in-new-york.html,5/6/2014,interactive map,Dining,,"Larry Buchanan, Nilkanth Patel",national,,,
